Date,open,high,low,close,volume,dividends,stock_splits,capital_gains,typical_price
2020-01-01 00:00:00-05:00,143.86000061035156,149.67999267578125,143.39999389648438,149.3300018310547,194652300,0.0,0.0,0.0,147.4699961344401
2020-02-01 00:00:00-05:00,148.66000366210938,158.52999877929688,145.8000030517578,148.3800048828125,254781400,0.0,0.0,0.0,150.90333557128906
2020-03-01 00:00:00-05:00,150.0,159.3699951171875,136.1199951171875,148.0500030517578,457459900,0.0,0.0,0.0,147.84666442871094
2020-04-01 00:00:00-04:00,148.1999969482422,164.4199981689453,147.85000610351562,158.8000030517578,260294400,0.0,0.0,0.0,157.0233357747396
2020-05-01 00:00:00-04:00,158.0,164.9600067138672,157.8000030517578,162.91000366210938,235361000,0.0,0.0,0.0,161.89000447591147
2020-06-01 00:00:00-04:00,162.9199981689453,167.99000549316406,157.0399932861328,167.3699951171875,222122700,0.0,0.0,0.0,164.13333129882812
2020-07-01 00:00:00-04:00,167.0500030517578,186.13999938964844,165.33999633789062,185.42999267578125,305156400,0.0,0.0,0.0,178.9699961344401
2020-08-01 00:00:00-04:00,185.0500030517578,194.4499969482422,179.0399932861328,184.8300018310547,389593200,0.0,0.0,0.0,186.1066640218099
2020-09-01 00:00:00-04:00,186.99000549316406,186.99000549316406,173.77000427246094,177.1199951171875,219862100,0.0,0.0,0.0,179.2933349609375
2020-10-01 00:00:00-04:00,178.7100067138672,181.30999755859375,174.8300018310547,176.1999969482422,172289000,0.0,0.0,0.0,177.44666544596353
2020-11-01 00:00:00-04:00,177.4499969482422,183.52999877929688,166.02999877929688,166.6699981689453,222246500,0.0,0.0,0.0,172.07666524251303
2020-12-01 00:00:00-05:00,169.75999450683594,178.39999389648438,169.3000030517578,178.36000061035156,177576400,0.0,0.0,0.0,175.35333251953125
2021-01-01 00:00:00-05:00,181.97000122070312,183.2100067138672,170.97999572753906,172.61000061035156,210951400,0.0,0.0,0.0,175.6000010172526
2021-02-01 00:00:00-05:00,175.02000427246094,175.25999450683594,160.9499969482422,161.80999755859375,181008600,0.0,0.0,0.0,166.00666300455728
2021-03-01 00:00:00-05:00,163.02999877929688,164.14999389648438,157.1300048828125,159.9600067138672,214111100,0.0,0.0,0.0,160.41333516438803
2021-04-01 00:00:00-04:00,161.55999755859375,168.38999938964844,161.27999877929688,165.66000366210938,143030700,0.0,0.0,0.0,165.11000061035156
2021-05-01 00:00:00-04:00,167.61000061035156,178.61000061035156,165.5,178.3800048828125,199082500,0.0,0.0,0.0,174.16333516438803
2021-06-01 00:00:00-04:00,178.75999450683594,178.85000610351562,164.00999450683594,165.6300048828125,207522500,0.0,0.0,0.0,169.49666849772134
2021-07-01 00:00:00-04:00,166.64999389648438,171.52000427246094,165.5,169.82000732421875,145195500,0.0,0.0,0.0,168.94667053222656
2021-08-01 00:00:00-04:00,169.3000030517578,171.39999389648438,160.67999267578125,169.69000244140625,165504300,0.0,0.0,0.0,167.25666300455728
2021-09-01 00:00:00-04:00,169.94000244140625,171.5500030517578,160.97000122070312,164.22000122070312,160613200,0.0,0.0,0.0,165.5800018310547
2021-10-01 00:00:00-04:00,164.27000427246094,169.5399932861328,163.47000122070312,166.64999389648438,136138300,0.0,0.0,0.0,166.55332946777344
2021-11-01 00:00:00-04:00,167.3800048828125,174.6699981689453,164.3800048828125,165.5,162163400,0.0,0.0,0.0,168.18333435058594
2021-12-01 00:00:00-05:00,166.83999633789062,171.0399932861328,163.8000030517578,170.9600067138672,151214100,0.0,0.0,0.0,168.6000010172526
2022-01-01 00:00:00-05:00,168.86000061035156,173.14999389648438,166.3699951171875,168.08999633789062,211125100,0.0,0.0,0.0,169.20332845052084
