Date,open,high,low,close,volume,dividends,stock_splits,typical_price
2020-01-02 00:00:00-05:00,151.28909291774593,153.1470931177711,150.86032587757265,153.0422821044922,22622100,0.0,0.0,152.349900366612
2020-01-03 00:00:00-05:00,150.8508226765117,152.4039130274651,150.60307959140601,151.13665771484375,21116200,0.0,0.0,151.38121677790494
2020-01-06 00:00:00-05:00,149.66926763600281,151.59397196855048,149.12615216765226,151.5272674560547,20813700,0.0,0.0,150.74913053075247
2020-01-07 00:00:00-05:00,151.8036064144559,152.13708538758584,149.89796243459426,150.14569091796875,21634100,0.0,0.0,150.72691291338296
2020-01-08 00:00:00-05:00,151.43201531179338,153.21380259511494,150.4982536880769,152.53729248046875,27746500,0.0,0.0,152.08311625455352
2020-01-09 00:00:00-05:00,154.20474183695646,154.56681892653168,153.4329581787887,154.4429473876953,21385000,0.0,0.0,154.14757483100524
2020-01-10 00:00:00-05:00,155.1385198642881,155.51964293432806,153.57587747595,153.72833251953125,20725900,0.0,0.0,154.27461764326975
2020-01-13 00:00:00-05:00,154.12853399859168,155.6054115095555,153.65212283627528,155.5768280029297,21626500,0.0,0.0,154.9447874495868
2020-01-14 00:00:00-05:00,155.68164530368088,155.88174439702684,154.09043370219524,154.48109436035156,23477400,0.0,0.0,154.81775748652456
2020-01-15 00:00:00-05:00,154.94794349384517,156.20567579261396,154.9003140143662,155.4815216064453,21417900,0.0,0.0,155.5291704711418
2020-01-16 00:00:00-05:00,156.59633079076963,158.39716412587353,156.29142071509088,158.33045959472656,23865400,0.0,0.0,157.673014811897
2020-01-17 00:00:00-05:00,159.52150934840557,159.56915337167442,157.62538771805643,159.21661376953125,34371700,0.0,0.0,158.8037182864207
2020-01-21 00:00:00-05:00,158.81641375479867,160.25518473061555,158.57820818014443,158.64491271972656,29517200,0.0,0.0,159.15943521016217
2020-01-22 00:00:00-05:00,159.50247040876243,159.5882354778145,157.86361465122948,157.88267517089844,24138800,0.0,0.0,158.44484176664747
2020-01-23 00:00:00-05:00,158.34954329861904,158.93076549395,157.472948511039,158.8545379638672,19680800,0.0,0.0,158.41941732295206
2020-01-24 00:00:00-05:00,159.60722542232784,159.62628593530488,156.69159211003426,157.25375366210938,24918100,0.0,0.0,157.85721056914952
2020-01-27 00:00:00-05:00,153.54732943454948,155.6721339305418,152.64215102996783,154.6240234375,32078100,0.0,0.0,154.31276946600323
2020-01-28 00:00:00-05:00,156.0532425983838,157.939826771765,155.37674687480407,157.65399169921875,24899900,0.0,0.0,156.99018844859594
2020-01-29 00:00:00-05:00,159.92166687049843,160.78873852015346,157.87310505454732,160.1122283935547,34754500,0.0,0.0,159.59135732275183
2020-01-30 00:00:00-05:00,165.83873532348133,165.83873532348133,162.7325251126566,164.62864685058594,51597500,0.0,0.0,164.39996909557462
2020-01-31 00:00:00-05:00,164.0855119347184,164.26653593393684,161.5795849806354,162.19891357421875,36142700,0.0,0.0,162.68167816293033
2020-02-03 00:00:00-05:00,162.3894481203382,166.26744067815594,162.36086462316248,166.15310668945312,30107000,0.0,0.0,164.92713733025718
2020-02-04 00:00:00-05:00,168.78290862542698,172.11778602310363,167.9920645264514,171.622314453125,36433300,0.0,0.0,170.5773883342267
2020-02-05 00:00:00-05:00,175.3478803350405,175.50985837548566,169.99302385604904,171.4127197265625,39186300,0.0,0.0,172.30520065269909
2020-02-06 00:00:00-05:00,172.4322705479156,175.14782019807717,171.56519867630152,174.96678161621094,27751400,0.0,0.0,173.89326683019655
2020-02-07 00:00:00-05:00,174.22354882690465,176.87239343667386,173.87099471887296,175.2144775390625,33529100,0.0,0.0,175.3192885648698
2020-02-10 00:00:00-05:00,174.91910137097884,179.93094091327686,174.60466830003907,179.79754638671875,35844300,0.0,0.0,178.1110518666782
2020-02-11 00:00:00-05:00,181.65552722032552,181.7031712330215,174.84285503323278,175.73851013183594,53159900,0.0,0.0,177.42817879936342
2020-02-12 00:00:00-05:00,176.8247545363522,177.08202061421943,173.2707316220504,175.9958038330078,47062900,0.0,0.0,175.4495186897592
2020-02-13 00:00:00-05:00,174.4426709188351,177.4440547028916,174.24257188173937,175.04295349121094,35295800,0.0,0.0,175.5765266919473
2020-02-14 00:00:00-05:00,174.6046735812949,176.66277308665374,174.0329744279463,176.60560607910156,23149500,0.0,0.0,175.7671178645672
2020-02-18 00:00:00-05:00,176.85334417815014,178.84473925632798,176.74853314567162,178.39691162109375,27792200,0.0,0.0,177.99672800769778
2020-02-19 00:00:00-05:00,179.67717593860445,179.7918222433081,178.15805408678213,178.93194580078125,29997500,0.51,0.0,178.96060737695714
2020-02-20 00:00:00-05:00,178.61668678419466,178.90331717737388,173.02745972102323,176.199462890625,36862400,0.0,0.0,176.04341326300735
2020-02-21 00:00:00-05:00,175.00511879235276,175.3204106535895,169.34900702097406,170.6292724609375,48572600,0.0,0.0,171.76623004516702
2020-02-24 00:00:00-05:00,160.29157169423613,166.76934860752485,155.95393632057926,163.27249145507812,68311100,0.0,0.0,161.99859212772742
2020-02-25 00:00:00-05:00,166.4349751443764,167.0464463520378,160.17694061961805,160.57823181152344,68073300,0.0,0.0,162.6005395943931
2020-02-26 00:00:00-05:00,162.14512281296396,165.53686863762786,160.71198584638833,162.58460998535156,56206100,0.0,0.0,162.94448815645592
2020-02-27 00:00:00-05:00,156.03998687134066,159.58460475023864,150.93800730931096,151.12908935546875,93174900,0.0,0.0,153.88390047167277
