Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2025-07-08 04:00:00-04:00,621.22,622.0,621.22,621.76,0,0.0,0.0,0.0,False
2025-07-08 04:01:00-04:00,621.69,621.79,621.63,621.63,0,0.0,0.0,0.0,False
2025-07-08 04:02:00-04:00,621.71,621.75,621.64,621.64,0,0.0,0.0,0.0,False
2025-07-08 04:03:00-04:00,621.64,621.73,621.63,621.63,0,0.0,0.0,0.0,False
2025-07-08 04:04:00-04:00,621.66,621.66,621.53,621.63,0,0.0,0.0,0.0,False
2025-07-08 04:05:00-04:00,621.57,621.64,621.57,621.64,0,0.0,0.0,0.0,False
2025-07-08 04:06:00-04:00,621.66,621.66,621.53,621.57,0,0.0,0.0,0.0,False
2025-07-08 04:07:00-04:00,621.53,621.59,621.52,621.59,0,0.0,0.0,0.0,False
2025-07-08 04:08:00-04:00,621.56,621.65,621.55,621.61,0,0.0,0.0,0.0,False
2025-07-08 04:09:00-04:00,621.59,621.71,621.59,621.71,0,0.0,0.0,0.0,False
2025-07-08 04:10:00-04:00,621.64,621.64,621.6,621.61,0,0.0,0.0,0.0,False
2025-07-08 04:11:00-04:00,621.61,621.73,621.6,621.73,0,0.0,0.0,0.0,False
2025-07-08 04:12:00-04:00,621.73,621.77,621.65,621.65,0,0.0,0.0,0.0,False
2025-07-08 04:13:00-04:00,621.62,621.62,621.4,621.55,0,0.0,0.0,0.0,False
2025-07-08 04:14:00-04:00,621.55,621.58,621.55,621.55,0,0.0,0.0,0.0,False
2025-07-08 04:15:00-04:00,621.6,621.63,621.6,621.63,0,0.0,0.0,0.0,False
2025-07-08 04:16:00-04:00,621.65,621.65,621.61,621.61,0,0.0,0.0,0.0,False
2025-07-08 04:17:00-04:00,621.59,621.59,621.59,621.59,0,0.0,0.0,0.0,False
2025-07-08 04:18:00-04:00,621.59,621.72,621.59,621.64,0,0.0,0.0,0.0,False
2025-07-08 04:19:00-04:00,621.64,621.64,621.54,621.57,0,0.0,0.0,0.0,False
2025-07-08 04:20:00-04:00,621.62,621.63,621.58,621.6,0,0.0,0.0,0.0,False
2025-07-08 04:21:00-04:00,621.57,621.57,621.5,621.51,0,0.0,0.0,0.0,False
2025-07-08 04:22:00-04:00,621.49,621.5,621.46,621.46,0,0.0,0.0,0.0,False
2025-07-08 04:23:00-04:00,621.52,621.54,621.51,621.54,0,0.0,0.0,0.0,False
2025-07-08 04:24:00-04:00,621.58,621.68,621.58,621.68,0,0.0,0.0,0.0,False
2025-07-08 04:25:00-04:00,621.67,621.77,621.64,621.77,0,0.0,0.0,0.0,False
2025-07-08 04:26:00-04:00,621.71,621.72,621.61,621.7,0,0.0,0.0,0.0,False
2025-07-08 04:27:00-04:00,621.66,621.69,621.62,621.67,0,0.0,0.0,0.0,False
2025-07-08 04:28:00-04:00,621.58,621.64,621.58,621.62,0,0.0,0.0,0.0,False
2025-07-08 04:29:00-04:00,621.62,621.63,621.59,621.63,0,0.0,0.0,0.0,False
2025-07-08 04:30:00-04:00,621.58,621.58,621.56,621.56,0,0.0,0.0,0.0,False
2025-07-08 04:31:00-04:00,621.61,621.62,621.61,621.62,0,0.0,0.0,0.0,False
2025-07-08 04:32:00-04:00,621.58,621.65,621.58,621.65,0,0.0,0.0,0.0,False
2025-07-08 04:33:00-04:00,621.69,621.7,621.62,621.63,0,0.0,0.0,0.0,False
2025-07-08 04:34:00-04:00,621.63,621.63,621.52,621.52,0,0.0,0.0,0.0,False
2025-07-08 04:35:00-04:00,621.46,621.53,621.45,621.52,0,0.0,0.0,0.0,False
2025-07-08 04:36:00-04:00,621.45,621.46,621.36,621.46,0,0.0,0.0,0.0,False
2025-07-08 04:37:00-04:00,621.46,621.47,621.46,621.47,0,0.0,0.0,0.0,False
2025-07-08 04:38:00-04:00,621.46,621.47,621.42,621.43,0,0.0,0.0,0.0,False
2025-07-08 04:39:00-04:00,621.44,621.47,621.37,621.45,0,0.0,0.0,0.0,False
2025-07-08 04:40:00-04:00,621.46,621.51,621.46,621.46,0,0.0,0.0,0.0,False
2025-07-08 04:41:00-04:00,621.44,621.49,621.42,621.49,0,0.0,0.0,0.0,False
2025-07-08 04:42:00-04:00,621.48,621.49,621.43,621.48,0,0.0,0.0,0.0,False
2025-07-08 04:43:00-04:00,621.45,621.49,621.45,621.48,0,0.0,0.0,0.0,False
2025-07-08 04:44:00-04:00,621.48,621.48,621.38,621.42,0,0.0,0.0,0.0,False
2025-07-08 04:45:00-04:00,621.39,621.39,621.24,621.24,0,0.0,0.0,0.0,False
2025-07-08 04:46:00-04:00,621.29,621.33,621.29,621.33,0,0.0,0.0,0.0,False
2025-07-08 04:47:00-04:00,621.45,621.48,621.44,621.48,0,0.0,0.0,0.0,False
2025-07-08 04:48:00-04:00,621.46,621.52,621.46,621.52,0,0.0,0.0,0.0,False
2025-07-08 04:49:00-04:00,621.52,621.59,621.52,621.55,0,0.0,0.0,0.0,False
2025-07-08 04:50:00-04:00,621.54,621.54,621.53,621.54,0,0.0,0.0,0.0,False
2025-07-08 04:51:00-04:00,621.56,621.59,621.52,621.57,0,0.0,0.0,0.0,False
2025-07-08 04:52:00-04:00,621.52,621.53,621.49,621.52,0,0.0,0.0,0.0,False
2025-07-08 04:53:00-04:00,621.48,621.5,621.48,621.5,0,0.0,0.0,0.0,False
2025-07-08 04:54:00-04:00,621.51,621.52,621.5,621.52,0,0.0,0.0,0.0,False
2025-07-08 04:55:00-04:00,621.54,621.56,621.51,621.51,0,0.0,0.0,0.0,False
2025-07-08 04:56:00-04:00,621.56,621.57,621.56,621.57,0,0.0,0.0,0.0,False
2025-07-08 04:57:00-04:00,621.53,621.6,621.52,621.6,0,0.0,0.0,0.0,False
2025-07-08 04:58:00-04:00,621.59,621.64,621.55,621.64,0,0.0,0.0,0.0,False
2025-07-08 04:59:00-04:00,621.64,621.64,621.6,621.62,0,0.0,0.0,0.0,False
2025-07-08 05:00:00-04:00,621.51,621.55,621.46,621.46,0,0.0,0.0,0.0,False
2025-07-08 05:01:00-04:00,621.48,621.48,621.2,621.2,0,0.0,0.0,0.0,False
2025-07-08 05:02:00-04:00,621.28,621.31,621.25,621.27,0,0.0,0.0,0.0,False
2025-07-08 05:03:00-04:00,621.28,621.34,621.27,621.3,0,0.0,0.0,0.0,False
2025-07-08 05:04:00-04:00,621.27,621.32,621.26,621.26,0,0.0,0.0,0.0,False
2025-07-08 05:05:00-04:00,621.3,621.42,621.3,621.41,0,0.0,0.0,0.0,False
2025-07-08 05:06:00-04:00,621.43,621.5,621.41,621.46,0,0.0,0.0,0.0,False
2025-07-08 05:07:00-04:00,621.43,621.43,621.34,621.34,0,0.0,0.0,0.0,False
2025-07-08 05:08:00-04:00,621.37,621.39,621.36,621.39,0,0.0,0.0,0.0,False
2025-07-08 05:09:00-04:00,621.4,621.41,621.37,621.41,0,0.0,0.0,0.0,False
2025-07-08 05:10:00-04:00,621.4,621.42,621.39,621.42,0,0.0,0.0,0.0,False
2025-07-08 05:11:00-04:00,621.42,621.61,621.42,621.61,0,0.0,0.0,0.0,False
2025-07-08 05:12:00-04:00,621.54,621.69,621.54,621.68,0,0.0,0.0,0.0,False
2025-07-08 05:13:00-04:00,621.68,621.68,621.52,621.54,0,0.0,0.0,0.0,False
2025-07-08 05:14:00-04:00,621.54,621.57,621.53,621.53,0,0.0,0.0,0.0,False
2025-07-08 05:15:00-04:00,621.56,621.56,621.52,621.52,0,0.0,0.0,0.0,False
2025-07-08 05:16:00-04:00,621.54,621.59,621.54,621.59,0,0.0,0.0,0.0,False
2025-07-08 05:17:00-04:00,621.62,621.62,621.61,621.61,0,0.0,0.0,0.0,False
2025-07-08 05:18:00-04:00,621.63,621.64,621.63,621.64,0,0.0,0.0,0.0,False
2025-07-08 05:19:00-04:00,621.62,621.67,621.6,621.67,0,0.0,0.0,0.0,False
2025-07-08 05:20:00-04:00,621.59,621.6,621.56,621.6,0,0.0,0.0,0.0,False
2025-07-08 05:21:00-04:00,621.58,621.58,621.49,621.52,0,0.0,0.0,0.0,False
2025-07-08 05:22:00-04:00,621.48,621.49,621.45,621.49,0,0.0,0.0,0.0,False
2025-07-08 05:23:00-04:00,621.47,621.47,621.4,621.43,0,0.0,0.0,0.0,False
2025-07-08 05:24:00-04:00,621.47,621.47,621.41,621.43,0,0.0,0.0,0.0,False
